categorias,tokens,etiquetas
Bswift,"['life', 'event', 'wife', 'lose', 'one', 'month', 'ago', 'submit', 'paper', 'order', 'gain', 'coverag', 'life', 'event', 'proof', 'alreadi', 'attach', 'bswift', 'receiv', 'messag', 'bswift', 'state', 'document', 'accept', 'would', 'need', 'verifi', 'send', 'rest', 'document', 'platform', 'could', 'everyth', 'alright', 'end', 'suggest', 'get', 'touch', 'bswift', 'technic', 'support', 'reach', 'back', 'necessari', 'action', 'take', 'end']",1
Bswift,"['ticket', 'reason', 'dental', 'provid', 'want', 'valid', 'dental', 'coverag', 'full', 'name', 'maquisha', 'dental', 'provid', 'applic', 'ssn', 'dob', 'valid', 'ticket', 'reason', 'dental', 'provid', 'want', 'valid', 'dental', 'coverag', 'contact', 'number', 'email', 'address', 'bswift', 'research', 'bswift', 'unabl', 'find', 'beneficiari', 'resolut', 'caller', 'find', 'card', 'incorrect', 'say', 'need', 'back', 'addit', 'info']",1
Bswift,"['eoi', 'form', 'spous', 'life', 'insur', 'move', 'approv', 'pend', 'evid', 'insur', 'eoi', 'base', 'hire', 'rule', 'sinc', 'never', 'approv', 'spous', 'make', 'pend', 'make', 'onlin', 'eoi', 'form', 'reappear', 'pleas', 'get', 'attach', 'form', 'give', 'spous', 'life', 'without', 'cigna', 'approv', 'email', 'origin', 'task', 'task']",1
Bswift,"['activ', 'bswift', 'cigna', 'end', 'await', 'respons', 'spous', 'call', 'told', 'phone', 'coverag', 'per', 'inform', 'cigna', 'rep', 'could', 'cover', 'seem', 'typic', 'cigna', 'end', 'show', 'could', 'pleas', 'check', 'one', 'sound', 'kinda', 'upset', 'although', 'explain', 'everyth', 'thank']",1
Bswift,"['fwd', 'text', 'imag', 'someth', 'receiv', 'mail', 'bswift', 'look', 'want', 'make', 'sure', 'incorrect', 'accid', 'cancel', 'benefit', 'thank', 'dispatch', 'manag', 'readi', 'central', 'region', 'aggreg', 'industri', 'holiday', 'drive', 'moorhead', 'phone', 'mobil', 'direct', 'fax', 'email', 'websit', 'www', 'lafargeholcim', 'www', 'materialsthatperform', 'com', 'forward', 'messag', 'date', 'subject', 'fwd', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['aetna', 'insur', 'hospit', 'care', 'contact', 'get', 'letter', 'mail', 'aetna', 'request', 'inform', 'claim', 'contact', 'number', 'wrong', 'provid', 'phone', 'number', 'could', 'contact']",1
Bswift,"['nalla', 'famili', 'appear', 'cover', 'cigna', 'end', 'call', 'cigna', 'repres', 'seem', 'end', 'appear', 'cover', 'research', 'confirm', 'appear', 'cover', 'end', 'spous', 'current', 'hospit', 'state', 'urgent', 'could', 'pleas', 'review', 'advis', 'resolv', 'request', 'asap', 'thank']",1
Bswift,"['fwd', 'notic', 'approv', 'elig', 'verifi', 'mylif', 'associ', 'check', 'cigna', 'confirm', 'coverag', 'spous', 'repli', 'back', 'text', 'messag', 'pleas', 'review', 'advis', 'go', 'account', 'receiv', 'updat', 'employ', 'spous', 'add', 'add', 'depend', 'polici', 'would', 'suggest', 'contact', 'employ', 'benefit', 'depart', 'notifi', 'cigna', 'chang', 'market', 'manag', 'lafargeholcim', 'indian', 'circl', 'maume', 'cell', 'offic', 'imag', 'directa', 'logo', 'http', 'www', 'directaport', 'com', 'cs', 'login', 'direct', 'access', 'account', 'time', 'forward', 'messag', 'date', 'subject', 'fwd', 'notic', 'approv', 'elig', 'verifi', 'market', 'manag', 'lafargeholcim', 'indian', 'circl', 'maume', 'cell', 'offic', 'imag', 'directa', 'logo', 'http', 'www', 'directaport', 'com', 'cs', 'login', 'direct', 'access', 'account', 'time', 'forward', 'messag', 'date', 'fri', 'subject', 'notic', 'approv', 'elig', 'verifi', 'verif', 'complet', 'recent', 'request', 'chang', 'benefit', 'coverag', 'requir', 'document', 'document', 'receiv', 'follow', 'individu', 'review', 'accept', 'request', 'complet', 'action', 'need', 'marriag', 'document', 'complet', 'marriag', 'document', 'complet', 'need', 'help', 'log', 'review', 'account', 'visit', 'www', 'lafargeholcim', 'bswift', 'com', 'mylif', 'central', 'notic', 'recipi', 'inform', 'mail', 'contain', 'confidenti', 'privileg', 'inform', 'think', 'receiv', 'mail', 'pleas', 'advis', 'sender', 'repli', 'mail', 'delet', 'mail', 'immedi', 'mail', 'also', 'contain', 'protect', 'health', 'inform', 'phi', 'inform', 'sensit', 'medic', 'condit', 'includ', 'limit', 'treatment', 'substanc', 'use', 'disord', 'behavior', 'health', 'hiv', 'aid', 'pregnanc', 'type', 'inform', 'protect', 'various', 'feder', 'prohibit', 'disclosur', 'without', 'express', 'write', 'consent', 'pertain', 'otherwis', 'permit', 'unauthor', 'disclosur', 'consid', 'violat', 'feder', 'general', 'author', 'releas', 'medic', 'inform', 'suffici', 'consent', 'releas', 'type', 'inform', 'thank', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'receiv', 'correspond', 'relat', 'coverag', 'need', 'inform', 'research', 'check', 'bswift', 'coverag', 'resolut', 'let', 'know', 'action', 'requir', 'addit', 'info']",1
Bswift,"['detail', 'provid', 'need', 'upload', 'document', 'close', 'ticket']",1
