categorias,tokens,etiquetas
Audit,"['address', 'move', 'address', 'yakima', 'minnesota', 'old', 'address', 'farmington', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",0
Audit,"['test', 'system']",0
Audit,"['test', 'system']",0
Audit,"['time', 'audit', 'request', 'afternoon', 'would', 'pleas', 'provid', 'sick', 'time', 'person', 'time', 'vacat', 'time', 'audit', 'employe', 'year', 'date', 'day', 'honor', 'thank', 'rmx', 'aggreg', 'industri', 'triangl', 'suit', 'greenbelt', 'cell', 'offic', 'aggreg', 'industri', 'compani', 'member', 'lafargeholcim', 'group', 'email', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'email', 'pleas', 'delet', 'immedi', 'notifi', 'email', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",0
Audit,"['time', 'audit', 'morn', 'would', 'provid', 'time', 'audit', 'follow', 'employe', 'pleas', 'provid', 'date', 'vacat', 'day', 'person', 'sick', 'day', 'month', 'thank', 'rmx', 'aggreg', 'industri', 'triangl', 'suit', 'greenbelt', 'cell', 'offic', 'aggreg', 'industri', 'compani', 'member', 'lafargeholcim', 'group', 'email', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'email', 'pleas', 'delet', 'immedi', 'notifi', 'email', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",0
Audit,"['std', 'name', 'ssn', 'dob', 'phone', 'number', 'call', 'number', 'email', 'want', 'contact', 'research', 'resolut', 'bswift', 'cobra', 'url', 'lafargeholcim', 'activ', 'direct', 'bill', 'tri', 'access', 'realiz', 'std', 'nar', 'addit', 'info', 'moment']",0
Audit,"['time', 'audit', 'morn', 'pleas', 'provid', 'audit', 'time', 'vacat', 'person', 'sick', 'use', 'year', 'employe', 'addit', 'pleas', 'add', 'date', 'day', 'honor', 'thank', 'rmx', 'aggreg', 'industri', 'triangl', 'suit', 'greenbelt', 'cell', 'offic', 'aggreg', 'industri', 'compani', 'member', 'lafargeholcim', 'group', 'email', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'email', 'pleas', 'delet', 'immedi', 'notifi', 'email', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",0
Audit,"['massachusett', 'labor', 'payrol', 'audit', 'hello', 'tri', 'set', 'audit', 'aggreg', 'massachusett', 'labor', 'work', 'perform', 'massachusett', 'thank', 'mcanarney', 'audit', 'manag', 'offic', 'fax', 'email', 'massachusett', 'labor', 'benefit', 'fund', 'district', 'suit', 'www', 'mlbf', 'org', 'http', 'www', 'mlbf', 'org', 'massachusett', 'labor', 'benefit', 'fund', 'mobil', 'updat', 'text', 'opt', 'text', 'benefit', 'name', 'email', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",0
Audit,"['time', 'audit', 'morn', 'pleas', 'provid', 'audit', 'time', 'vacat', 'person', 'sick', 'use', 'year', 'employe', 'addit', 'pleas', 'add', 'date', 'day', 'honor', 'thank', 'rmx', 'aggreg', 'industri', 'triangl', 'suit', 'greenbelt', 'cell', 'offic', 'aggreg', 'industri', 'compani', 'member', 'lafargeholcim', 'group', 'email', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'email', 'pleas', 'delet', 'immedi', 'notifi', 'email', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",0
Bswift,"['pleas', 'audit', 'task', 'death', 'notif', 'date', 'death', 'ssn', 'spous', 'notifi', 'name', 'relationship', 'deceas', 'daughter', 'phone', 'number', 'address', 'bar', 'yes', 'pension', 'number', 'yes', 'request', 'death', 'certif', 'yes']",1
